Company,Pull,PMID,Title,"Affiliated (1 = primary, 2 = secondary)",Research Topic,Samples,Number of proteins Investigated ,Number of Proteins Associated ,Number of Proteins Found to be Significant ,Biomarkers,Been Converted,Panels,Assays / Protein Classes,Comment,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 24,Assays Run ,96,48,other animals,UNIProt ID,Comments,Unnamed: 31
Olink,Q3 '22 - Q1 '23,36017745,Effect of empagliflozin on circulating proteomics in heart failure: mechanistic insights into the EMPEROR programme,0,Cardiovascular,3402,1283,9,6,"insulin-like growth factor-binding protein 1,transferrin receptor protein 1,carbonic anhydrase 2,erythropoietin,protein-glutamine gamma-glutamyltransferase 2,thymosin beta-10,U-type mitochondrial creatine kinase,insulin-like growth factor-binding protein 4,adipocyte fatty acid-binding protein",1,1,Explore 1536,"Clinical trial; Changes in circulating protein levels in patients with heart failure are consistent with the findings of experimental studies that have shown that the effects of SGLT2 inhibitors are likely related to actions on the heart and kidney to promote autophagic flux, nutrient deprivation signalling and transmembrane sodium transport.","Zannad F, Ferreira JP, Butler J, Filippatos G, Januzzi JL, Sumin M, Zwick M, Saadati M, Pocock SJ, Sattar N, Anker SD, Packer M.",Eur Heart J. 2022 Dec 21;43(48):4991-5002. doi: 10.1093/eurheartj/ehac495.,Zannad F,Eur Heart J,2022,8/26/2022,PMC9769969,,10.1093/eurheartj/ehac495,,3402,35,0,,"C1K3N3,B7Z2I6,E5RK37,G9JKG7,P21980,P63313,P63313,A0A024R1U8,P15090,",,
Olink,Q3 '22 - Q1 '23,36049813,Pathophysiologic Processes and Novel Biomarkers Associated With Congestion in HeartÃÂÃÂÃÂÃÂ Failure,0,Cardiovascular ,2587,363,113,10," FGF-23,FGF-21,CA-125,ST2,GDF-15,FABP4,IL-6,BNP,KITLG,EGF,PON3",1,4,"Target 96 CVDII, CDVIII, immune response, oncology II",The identified biomarkers may become useful for diagnosing and monitoring congestion status.,"Pandhi P, Ter Maaten JM, Anker SD, Ng LL, Metra M, Samani NJ, Lang CC, Dickstein K, de Boer RA, van Veldhuisen DJ, Voors AA, Sama IE.",JACC Heart Fail. 2022 Sep;10(9):623-632. doi: 10.1016/j.jchf.2022.05.013.,Pandhi P,JACC Heart Fail,2022,9/1/2022,,,10.1016/j.jchf.2022.05.013,,10348,107,1,,"Q9GZV9,Q9NSA1,Q8WXI7,Q01638,Q99988,P15090,P05231,P16860,P21583,P01133,Q15166,",,
Olink,Q3 '22 - Q1 '23,36991119,An atlas of genetic scores to predict multi-omic traits,0,Methods Dev,4822,,,,,0,1,,Olink and SOmaScan were used; using biobanked samples ,"Xu Y, Ritchie SC, Liang Y, Timmers PRHJ, Pietzner M, Lannelongue L, Lambert SA, Tahir UA, May-Wilson S, Foguet C, Johansson Å, Surendran P, Nath AP, Persyn E, Peters JE, Oliver-Williams C, Deng S, Prins B, Luan J, Bomba L, Soranzo N, Di Angelantonio E, Pirastu N, Tai ES, van Dam RM, Parkinson H, Davenport EE, Paul DS, Yau C, Gerszten RE, Mälarstig A, Danesh J, Sim X, Langenberg C, Wilson JF, Butterworth AS, Inouye M.",Nature. 2023 Apr;616(7955):123-131. doi: 10.1038/s41586-023-05844-9. Epub 2023 Mar 29.,Xu Y,Nature,2023,3/29/2023,,,10.1038/s41586-023-05844-9,,4822,50,0,,,,
Olink,Q3 '22 - Q1 '23,36474941,Technical performance of a proximity extension assay inflammation biomarker panel with synovial fluid,0,Methods Dev,790,92,,,,0,1,Inflammation ,"Olink and MSD were compared. Interesting takeaways, looking to use Olink un synovial fluid","Struglics A, Larsson S, Lohmander LS, Swärd P.",Osteoarthr Cartil Open. 2022 Jul 7;4(3):100293. doi: 10.1016/j.ocarto.2022.100293. eCollection 2022 Sep.,Struglics A,Osteoarthr Cartil Open,2022,12/7/2022,PMC9718077,,10.1016/j.ocarto.2022.100293,,790,8,0,,,,
Olink,Q3 '22 - Q1 '23,36376783,Determination of temporal reproducibility and variability of cancer biomarkers in serum and EDTA plasma samples using a proximity extension assay,0,Methods Dev,12,92,,,,0,1,Immuno-oncology,"For 36 proteins, the serum and plasma values were not comparable due to high variability of the ratio, poor correlation, or possible concentration effect. For the bridging samples, the mean intra-study inter-assay coefficient of variation (CV) ranged from 11.3% to 26.1%. The mean inter-study CV was 42.0% before normalization and 26.2% after normalization. Inter-study results were well correlated (r???0.93), especially for studies using the same version of the panel (r???0.99).
","Christensen TD, Maag E, Madsen K, Lindgaard SC, Nielsen DL, Johansen JS.",Clin Proteomics. 2022 Nov 15;19(1):39. doi: 10.1186/s12014-022-09380-y.,Christensen TD,Clin Proteomics,2022,11/15/2022,PMC9664820,,10.1186/s12014-022-09380-y,,12,0,0,,,,
Olink,Q3 '22 - Q1 '23,36301636,Plasma Olink Proteomics Identifies CCL20 as a Novel Predictive and Diagnostic Inflammatory Marker for Preeclampsia,0,Women�s Health,30,92,28,1,CCL20,1,1,Inflammation ,"A total of 28 inflammation-related markers differed between the PE and control groups. Among them, fibroblast growth factor 21 (FGF-21) and cysteine-cysteine motif chemokine ligand 20 (CCL20) had the largest fold changes. We further validated the levels of CCL20 in the late (43 with PE and 44 controls) and early (37 with PE and 37 controls) pregnancy maternal plasma using enzyme-linked immunosorbent assay (ELISA). To the best of our knowledge, for the first time, CCL20 was found to be upregulated in the late and early pregnancy plasma of patients with PE and had an area under the curve (AUC) of 0.753 and 0.668, respectively. In conclusion, patients with PE had increased levels of most inflammatory markers, and CCL20 might be a novel potential predictive and diagnostic biomarker for PE.","Wang X, Yip KC, He A, Tang J, Liu S, Yan R, Zhang Q, Li R.",J Proteome Res. 2022 Dec 2;21(12):2998-3006. doi: 10.1021/acs.jproteome.2c00544. Epub 2022 Oct 27.,Wang X,J Proteome Res,2022,10/27/2022,PMC9724708,,10.1021/acs.jproteome.2c00544,,30,0,0,,"P78556,",,
Olink,Q3 '22 - Q1 '23,36959545,Discovery of novel glioma serum biomarkers by proximity extension assay,0,Oncology,50,3000,8,2,"GFAP,NEFL,EDDM3B,PROK1,Stromelysin-1,CTRL,GP2,SPINT3,FABP4,ALDH3A1,IL-12B,OXT",1,1,Explore 3072," Partition algorithms and logistic regression algorithms with two biomarkers (GFAP and FABP4) achieved sensitivity of 83% and 93% at 100% and 90% specificity, respectively. The strongest single marker was GFAP with an area under the ROC curve (AUC) of 0.86. The AUC for the GFAP-FABP4 combination was 0.98.","Ghorbani A, Avery LM, Sohaei D, Soosaipillai A, Richer M, Horbinski C, McCortney K, Xu W, Diamandis EP, Prassas I.",Clin Proteomics. 2023 Mar 24;20(1):12. doi: 10.1186/s12014-023-09400-5.,Ghorbani A,Clin Proteomics,2023,3/24/2023,PMC10037798,,10.1186/s12014-023-09400-5,,50,0,1,,"P14136,P07196,P56851,P58294,A0A0U3J4I2,P40313,P55259,P49223,P15090,P30838,P29460,P01178,",,
Olink,Q3 '22 - Q1 '23,37033920,Characterization of the inflammatory proteome of synovial fluid from patients with psoriatic arthritis: Potential treatment targets,0,Immunology (Arthritis),13,92,39,,"NFa,IL17A,IL6,IL10,IL-8,EN-RAGE,CCL20,TNFSF-14,OSM,IFNg,MCP-3,CXCL11,MCP4,CASP-8,CXCL6,CD6,ADA,CXCL10,TNFb,IL7",1,1,Target 96 Inflammation,"This is the first study that characterizes the inflammatory landscape of synovial fluid of PsA patients by analyzing a panel of 92 inflammatory proteins using PEA technology. Novel SF proteins have been described as potential pathogenic molecules involved in the pathogenesis of PsA. Despite the flare, inflammatory proteome could distinguish two different phenotypes related to systemic inflammation and lipid and glucose alterations.","Barbarroja N, López-Montilla MD, Cuesta-López L, Pérez-Sánchez C, Ruiz-Ponce M, López-Medina C, Ladehesa-Pineda ML, López-Pedrera C, Escudero-Contreras A, Collantes-Estévez E, Arias-de la Rosa I.",Front Immunol. 2023 Mar 22;14:1133435. doi: 10.3389/fimmu.2023.1133435. eCollection 2023.,Barbarroja N,Front Immunol,2023,4/10/2023,PMC10073963,,10.3389/fimmu.2023.1133435,,13,0,0,,"P01375,Q16552,P05231,P22301,P10145,P80511,P78556,O43557,P13725,P01579,P80098,O14625,Q99616,Q14790,P80162,P30203,P00813,P02778,P01374,P13232",,
Olink,Q3 '22 - Q1 '23,36061370,Plasma Kidney Injury Molecule-1 in Systemic Lupus Erythematosus: Discordance Between ELISA and Proximity Extension Assay,0,Methods Dev,446,1,,,KIM-1,1,1,,"Targeted studies looking at ocmparing Olink & ELISA; n this study, we found differences in the concordance of plasma KIM-1 measurements by proximity extension assay versus ELISA according to SLE status.","Schmidt IM, Colona MR, Srivastava A, Yu G, Sabbisetti V, Bonventre JV, Waikar SS.",Kidney Med. 2022 Jun 2;4(8):100496. doi: 10.1016/j.xkme.2022.100496. eCollection 2022 Aug.,Schmidt IM,Kidney Med,2022,9/5/2022,PMC9437607,,10.1016/j.xkme.2022.100496,,446,4,1,,"Q96D42,",,
Olink,Q3 '22 - Q1 '23,36301025,Exploratory analysis of interleukin-38 in hospitalized COVID-19 patients,0,Infectious Disease,233,1,1,0,IL38,1,3,"Inflammatory, Cardiovascular II, cardiometabolic","92, and 276 proteins were investigsted but there was only one protein target in mind.  IL-38 was also measured with BT's ELISA ","de Graaf DM, Teufel LU, de Nooijer AH, van Gammeren AJ, Ermens AAM, Gaál IO, Cri?an TO, van de Veerdonk FL, Netea MG, Dinarello CA, Joosten LAB, Arts RJW; Radboudumc Center for Infectious Diseases COVID-19 Study Group.",Immun Inflamm Dis. 2022 Nov;10(11):e712. doi: 10.1002/iid3.712.,de Graaf DM,Immun Inflamm Dis,2022,10/27/2022,PMC9601778,,10.1002/iid3.712,,699,7,0,,"Q8WWZ1,",,
